rank,Category,Indicator,Policy,Country,ISO,value,unit,year
49,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Turkmenistan,TKM,12.47359,metric tons per capita,2016.0
50,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,4.0710001,percent of total labor force,2020.0
51,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Turkmenistan,TKM,5.066400051116943,score,2021.0
53,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.957602,score,2019.0
54,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Turkmenistan,TKM,0.000232,percent,2019.0
55,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0275,percent of total energy,2014.0
56,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Turkmenistan,TKM,0.03113,percent,2019.0
57,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,682000.0,number,2019.0
58,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0408878864181804,percent of total final energy consumption,2015.0
59,Economics,Volume of exports,C4_Restrictions on gatherings,Turkmenistan,TKM,5.694,percent change,2020.0
60,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.511905,score,2019.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Turkmenistan,TKM,18.6,percent,2016.0
65,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Turkmenistan,TKM,3.8,percent,2020.0
69,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,score,2021.0
70,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Turkmenistan,TKM,0.001548,percent,2019.0
71,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Turkmenistan,TKM,0.004744,percent,2019.0
72,Environment,Energy use ,C4_Restrictions on gatherings,Turkmenistan,TKM,393.9511734316079,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
73,Environment,Electric power consumption ,C4_Restrictions on gatherings,Turkmenistan,TKM,2678.763513642065,kWh per capita,2014.0
74,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Turkmenistan,TKM,0.093456,percent,2019.0
76,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Turkmenistan,TKM,0.047879,percent,2019.0
78,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.15624,score,2019.0
79,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,51.25,Percentage of females of the total population,2020.0
80,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Turkmenistan,TKM,21.76772,micrograms per cubic meter,2017.0
88,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of total,2017.0
89,Environment,Electricity production from nuclear sources ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2014.0
102,Economics,"Trade, total as % of GDP",C4_Restrictions on gatherings,Turkmenistan,TKM,36.68384,percent,2019.0
108,Economics,"Foreign direct investment, net",C4_Restrictions on gatherings,Turkmenistan,TKM,1985147000.0,US Dollar,2018.0
113,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C4_Restrictions on gatherings,Turkmenistan,TKM,43908.6,international $ in PPP,2020.0
